NAAM;FAMILIE_ID
Alloneuron;246
Allophylastrum;355
Allophyllum;325
Allophylus;355
Allophyton;367
Alloplectus;170
Allopterigeron;
Allorgea;
Allorgella;
Allosampela;419
Allosanthus;355
Alloschemone;29
Allosidastrum;238
Allosorus;
Allospondias;18
Allostelites;
Allostigma;170
Allosyncarpia;266
Alloteropsis;322
Allotropa;149
Allowissadula;238
Allowoodsonia;25
Alloxylon;333
Allozygia;246
Alluaudia;132
Alluaudiopsis;132
Almaleea;
Almeidea;350
Almutaster;
Alniphyllum;386
Alnus;52
Alobiella;
Alobiellopsis;
Alocasia;29
Alococarpum;24
Aloe;
Aloexylum;401
Aloina;
Aloinella;
Aloinopsis;7
Aloitis;167
Alomia;
Alomiella;
Alona;374
Alonsoa;367
Alopecias;
Alopecurus;322
Alophia;202
Alophosia;
Alosemis;246
Aloysia;416
Alphandia;154
Alphitonia;342
Alphonsea;21
Alpinia;426
Alposelinum;24
Alrawia;35
Alseis;348
Alseodaphne;219
Alseuosmia;10
Alsia;
Alsinanthus;86
Alsinastrum;146
Alsine;86
Alsinella;86
Alsinidendron;86
Alsinopsis;86
Alsodeia;418
Alsodeiopsis;201
Alsomitra;115
Alsophila;
Alstonia;25
Alstroemeria;11
Altamiranoa;111
Altensteinia;282
Alternanthera;14
Althaea;238
Althenia;331
Althoffia;238
Altingia;12
Altoparadisium;322
Aluta;266
Alvaradoa;313
Alvarezia;1
Alveolina;232
Alvesia;216
Alvimia;322
Alvimiantha;342
Alvordia;
Alyogyne;238
Alysicarpus;
Alyssoides;60
Alyssopsis;60
Alyssum;60
Alyxia;25
Alzatea;293
Amaioua;348
Amalago;316
Amalia;282
Amalocalyx;25
Amalophyllon;170
Amana;223
Amanoa;309
Amaraboya;246
Amaracarpus;348
Amaranthus;14
Amarcrinum;15
Amarella;167
Amarenus;
Amarine;15
Amaroria;369
Amarygia;15
Amaryllis;15
Amasonia;216
Amatula;374
Amauria;
Amauriella;29
Amauriopsis;
Amauropelta;
Amazoopsis;
Ambassa;
Ambavia;21
Ambelania;25
Amberboa;
Ambilobea;65
Amblia;
Amblogyna;14
Amblostoma;282
Amblovenatum;
Amblyanthera;246
Amblyanthopsis;332
Amblyanthus;332
Amblygonocarpus;
Amblynotopsis;58
Amblynotus;58
Amblyocarpum;
Amblyodon;
Amblyodum;
Amblyoglossum;25
Amblyolepis;
Amblyopappus;
Amblyopetalum;25
Amblyopogon;
Amblysperma;
Amblystegiella;
Amblystegium;
Amblystigma;25
Amblytropis;
Amblytropis;
Ambongia;1
Ambora;255
Amborella;16
Amboroa;
Ambrella;282
Ambroma;238
Ambrosia;
Ambrosina;29
Ambuchanania;
Ambulia;367
Amburana;
Ameghinoa;
Amelanchier;346
Amelasorbus;346
Amelasorbus;346
Amellus;
Amentotaxus;392
Amerimnon;
Ameroglossum;367
Amerosedum;111
Amesia;282
Amesiella;282
Amesiodendron;355
Amesium;
Amethystanthus;216
Amethystea;216
Ametron;346
Amherstia;
Amianthium;245
Amicia;
Amirola;355
Amischotolype;103
Amitostigma;282
Ammandra;32
Ammannia;234
Ammanthus;
Ammi;24
Ammobium;
Ammobroma;58
Ammocalamagrostis;322
Ammocalamagrostis;322
Ammocharis;15
Ammochloa;322
Ammodaucus;24
Ammodendron;
Ammodenia;86
Ammodytes;
Ammoides;24
Ammophila;322
Ammopiptanthus;
Ammoselinum;24
Ammoseris;
Ammosperma;60
Ammyrsine;149
Amolinia;
Amomis;266
Amomum;426
Amomyrtella;266
Amomyrtus;266
Amoora;247
Amoreuxia;55
Amorgine;14
Amoria;
Amorimia;237
Amorpha;
Amorphophallus;29
Ampacus;350
Amparoa;282
Ampelamus;25
Ampelaster;
Ampelocalamus;322
Ampelocera;412
Ampelocissus;419
Ampelodesmos;322
Ampelopsis;419
Ampelopteris;
Ampelosicyos;115
Ampelosycios;115
Ampelovitis;419
Ampelozizyphus;342
Ampelygonum;327
Amperea;154
Ampherephis;
Amphiachyris;
Amphiasma;348
Amphibiophytum;
Amphiblemma;246
Amphiblestra;
Amphibolia;7
Amphibolis;121
Amphibologyne;58
Amphibromus;322
Amphicarpaea;
Amphicarpum;322
Amphicephalozia;
Amphicosmia;
Amphidasya;348
Amphidesmium;
Amphidetes;25
Amphidium;
Amphidoxa;
Amphigena;282
Amphiglossa;
Amphijubula;
Amphilejeunea;
Amphilophium;54
Amphilophocolea;
Amphimas;
Amphineurion;25
Amphineuron;
Amphinomia;
Amphiolanthus;227
Amphione;105
Amphipappus;
Amphipetalum;329
Amphiphyllum;338
Amphipleis;374
Amphipogon;322
Amphipterum;
Amphipterygium;18
Amphirhapis;
Amphirrhox;418
Amphiscirpus;123
Amphiscopia;1
Amphistelma;25
Amphistemon;348
Amphitecna;54
Amphithalea;
Amphitoma;246
Amphodus;
Amphoradenium;
Amphorchis;282
Amphoricarpos;
Amphoridium;
Amphoritheca;
Amphorocalyx;246
Amphorogyne;354
Amphymenium;
Amsinckia;58
Amsonia;25
Amydrium;29
Amyema;232
Amygdalopersica;346
Amygdalopsis;346
Amygdalus;346
Amylotheca;232
Amyrea;154
Amyris;350
Amyxa;401
Anabaena;154
Anabasis;14
Anabata;25
Anacalypta;
Anacampseros;17
Anacampseros;111
Anacamptiplatanthera;282
Anacamptis;282
Anacamptodon;
Anacamptorchis;282
Anacantha;
Anacaona;115
Anacardium;18
Anacheilium;282
Anacolia;
Anacolosa;277
Anacolus;167
Anacyclus;
Anadelphia;322
Anadenanthera;
Anadendrum;29
Anadenia;333
Anaectocalyx;246
Anagallidium;167
Anagallis;332
Anagyris;
Anakasia;30
Analyrium;24
Anamaria;367
Anamirta;248
Ananas;61
Anandria;
Anangia;115
Ananthacorus;
Anantherix;25
Anapalina;202
Anapausia;
Anapeltis;
Anaphalioides;
Anaphalis;
Anaphrenium;18
Anaphyllopsis;29
Anaphyllum;29
Anarmosa;361
Anarrhinum;318
Anarthria;
Anarthrophyllum;
Anarthropteris;
Anarthrosyne;
Anasser;229
Anastatica;60
Anastrabe;382
Anastraphia;
Anastrepta;
Anastrophus;322
Anastrophyllum;
Anasyllis;18
Anathallis;282
Anatherostipa;322
Anatherum;322
Anatropanthus;25
Anauxanopetalum;18
Anaxagorea;21
Anaxeton;
Anaxetum;
Ancana;21
Ancathia;
Anchietea;418
Anchomanes;29
Anchonium;60
Anchusa;58
Anchusopsis;58
Ancistrachne;322
Ancistragrostis;322
Ancistranthus;1
Ancistrocactus;70
Ancistrocarphus;
Ancistrocarpus;238
Ancistrocarya;58
Ancistrochilus;282
Ancistrocladus;19
Ancistrodes;
Ancistrodesmus;246
Ancistrolobus;99
Ancistrorhynchus;282
Ancistrostylis;1
Ancistrothyrsus;290
Ancistrotropis;
Ancistrum;346
Ancouratea;276
Ancylanthos;348
Ancylobothrys;25
Ancylobotrys;25
Ancylostemon;170
Ancylotropis;326
Andaca;
Andeimalva;238
Andenea;70
Anderbergia;
Andersonia;149
Anderssoniopiper;316
Andinia;282
Andinopuntia;70
Andira;
Andoa;
Andrachne;309
Andradea;273
Andradia;
Andreadoxa;350
Andreaea;
Andreaeobryum;
Andreoskia;60
Andrewsianthus;
Andriana;24
Andriapetalum;333
Androcalva;238
Androcalymma;
Androcera;374
Androcorys;282
Androcryphia;
Androcymbium;100
Androglossa;351
Andrographis;1
Androlaechmea;61
Androlepis;61
Andromeda;149
Androphylax;248
Andropogon;322
Andropterum;322
Androrchis;282
Androsace;332
Androsaemum;199
Androsiphonia;290
Androstachys;314
Androstephium;35
Androtium;18
Androtrichum;123
Androya;367
Andryala;
Andrzeiowskia;60
Anechites;25
Aneilema;103
Aneimiaebotrys;
Anelasma;248
Anelsonia;60
Anemarrhena;35
Anemia;
Anemidictyon;
Anemocarpa;
Anemoclema;337
Anemonanthea;337
Anemonastrum;337
Anemone;337
Anemonella;337
Anemonidium;337
Anemonoides;337
Anemonopsis;337
Anemopaegma;54
Anemopsis;360
Anerincleistus;246
Anetanthus;170
Anethum;24
Anetium;
Aneulophus;151
Aneura;
Angadenia;25
Angeia;263
Angeldiazia;
Angelica;24
Angelonia;318
Angelopogon;252
Angelphytum;
Angianthus;
Anginon;24
Angiopteris;
Angkalanthus;1
Angolaea;324
Angolluma;25
Angophora;266
Angorkis;282
Angoseseli;24
Angostura;350
Angostylis;154
Angraecopsis;282
Angraecum;282
Anguillaria;100
Anguillicarpus;60
Anguina;115
Anguloa;282
Anguria;115
Angylocalyx;
Anhalonium;70
Aniba;219
Anictangium;
Anidrum;24
Anigozanthos;183
Aniketon;373
Anil;
Anila;
Anisacantha;14
Anisacanthus;1
Anisactis;24
Anisadenia;226
Anisantherina;283
Aniseia;105
Aniselytron;322
Anisepta;154
Aniserica;149
Anisifolium;350
Anisocampium;
Anisocapparis;80
Anisocarpus;
Anisocentrum;246
Anisochaeta;
Anisochilus;216
Anisocoma;
Anisocycla;248
Anisodontea;238
Anisodus;374
Anisogonium;
Anisolotus;
Anisomeles;216
Anisomeria;312
Anisomeris;348
Anisopappus;
Anisophyllea;20
Anisophyllum;154
Anisopoda;24
Anisopogon;322
Anisoptera;137
Anisopus;25
Anisopyrum;322
Anisosciadium;24
Anisosepalum;1
Anisostachya;1
Anisostichium;
Anisostigma;7
Anisotes;1
Anisothecium;
Anisothrix;
Anisotoma;25
Anisotome;24
Anisum;24
Ankylobus;
Ankyropetalum;86
Anna;170
Annesijoa;154
Anneslea;297
Anneslia;
Annesorhiza;24
Annickia;21
Annona;21
Anoda;238
Anodendron;25
Anodiscus;170
Anodon;
Anodontium;
Anodopetalum;116
Anodus;
Anoectangium;
Anoectochilus;282
Anoectomaria;282
Anogeissus;102
Anogra;279
Anogramma;
Anoma;259
Anomacanthus;1
Anomacaulis;
Anomalanthus;149
Anomalolejeunea;
Anomalopterys;237
Anomalosicyos;115
Anomianthus;21
Anomobryopsis;
Anomobryum;
Anomocarpus;74
Anomochloa;322
Anomoclada;
Anomodon;
Anomomarsupella;
Anomopanax;24
Anomospermum;248
Anomostachys;154
Anomostephium;
Anomotassa;25
Anomylia;
Anonidium;21
Anoniodes;145
Anonis;
Anonychium;
Anoplanthus;283
Anoplocaryum;58
Anoplolejeunea;
Anoplophytum;61
Anopteris;
Anopterus;152
Anopyxis;343
Anotea;238
Anotis;348
Anotites;86
Anplectrella;246
Anplectrum;246
Anquetilia;350
Anredera;47
Ansellia;282
Anstrutheria;343
Antegibbaeum;7
Antennaria;
Antenoron;327
Anteremanthus;
Anterioherorchis;282
Anteriopaludorchis;282
Anthacanthus;1
Anthactinia;290
Anthadenia;292
Anthaenantia;322
Anthaenantiopsis;322
Anthalogea;326
Anthanema;105
Anthanotis;25
Anthechamomilla;
Anthechrysanthemum;
Anthelia;
Antheliacanthus;1
Anthelis;
Anthematricaria;
Anthemimatricaria;
Anthemiopsis;
Anthemis;
Anthephora;322
Anthericopsis;103
Anthericum;35
Antherisia;35
Antheropeas;
Antheroporum;
Antherostele;348
Antherothamnus;367
Antherotoma;246
Antheryta;246
Anthistiria;322
Anthobolus;354
Anthocarpa;247
Anthocephalus;348
Anthocerastes;
Anthocercis;374
Anthoceros;
Anthochlamys;14
Anthochloa;322
Anthochortus;340
Anthocleista;167
Anthodendron;149
Anthodiscus;85
Anthodon;88
Anthogonium;282
Antholoma;145
Antholyza;202
Anthomeles;346
Anthonotha;
Anthopogon;322
Anthopteropsis;149
Anthopterus;149
Anthorrhiza;348
Anthosachne;322
Anthospermopsis;348
Anthospermum;348
Anthostema;154
Anthotium;175
Anthotroche;374
Anthoxanthum;322
Anthrichaerophyllum;24
Anthriscus;24
Anthurium;29
Anthyllis;
Antiaris;258
Antiaropsis;258
Anticharis;367
